id,source,title,body,published_at,created_at,importance,reason_json,rank_score,tickers,label
906,매일경제,"SK하이닉스 메모리 시장 점유율 확대, 주가 27% 상승","SK하이닉스 메모리 시장 점유율 확대, 주가 27% 상승. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. ",2025-08-12 08:36:26.221296,2025-08-12 08:41:26.221296,0.8305141285889031,"{""source_weight"": 0.9, ""tickers_hit"": 1, ""keywords_hit"": 4, ""freshness"": 26.00003707638889}",0.6683804786043076,000660,1
143,파이낸셜뉴스,"포스코 철강 가격 상승으로 수익성 개선, 영업이익률 3%","포스코 철강 가격 상승으로 수익성 개선, 영업이익률 3%. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. ",2025-08-12 18:36:26.221296,2025-08-12 18:41:26.221296,0.8118019417732124,"{""source_weight"": 0.85, ""tickers_hit"": 1, ""keywords_hit"": 4, ""freshness"": 16.00000459111111}",0.6643420901086025,005490,1
731,헤럴드경제,"포스코 철강 가격 상승으로 수익성 개선, 영업이익률 18%","포스코 철강 가격 상승으로 수익성 개선, 영업이익률 18%. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. ",2025-08-13 09:36:26.221296,2025-08-13 09:41:26.221296,0.8066745671710897,"{""source_weight"": 0.8, ""tickers_hit"": 1, ""keywords_hit"": 4, ""freshness"": 1.0000316783333334}",0.5084260000019253,005490,1
1058,중앙일보,"포스코 철강 가격 상승으로 수익성 개선, 영업이익률 13%","포스코 철강 가격 상승으로 수익성 개선, 영업이익률 13%. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. ",2025-08-13 04:36:26.221296,2025-08-13 04:41:26.221296,0.7745703915639315,"{""source_weight"": 0.9, ""tickers_hit"": 1, ""keywords_hit"": 4, ""freshness"": 6.000041662777778}",0.7100248774304405,005490,1
875,연합뉴스,"포스코 철강 가격 상승으로 수익성 개선, 영업이익률 18%","포스코 철강 가격 상승으로 수익성 개선, 영업이익률 18%. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. ",2025-08-11 19:36:26.221296,2025-08-11 19:41:26.221296,0.7700764879496176,"{""source_weight"": 0.95, ""tickers_hit"": 1, ""keywords_hit"": 4, ""freshness"": 39.000036162777775}",0.46487284840337273,005490,1
1394,매일경제,"삼성전자, 3분기 실적 발표... 영업이익 전년 대비 9% 증가","삼성전자, 3분기 실적 발표... 영업이익 전년 대비 9% 증가. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. ",2025-08-11 22:36:26.221296,2025-08-11 22:41:26.221296,0.7611458953904424,"{""source_weight"": 0.9, ""tickers_hit"": 1, ""keywords_hit"": 4, ""freshness"": 36.000051739722224}",0.6371201382332883,005930,1
1186,헤럴드경제,"삼성전자, 3분기 실적 발표... 영업이익 전년 대비 46% 증가","삼성전자, 3분기 실적 발표... 영업이익 전년 대비 46% 증가. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. ",2025-08-13 02:36:26.221296,2025-08-13 02:41:26.221296,0.7571464938355149,"{""source_weight"": 0.8, ""tickers_hit"": 1, ""keywords_hit"": 4, ""freshness"": 8.000045490833333}",0.49508765147208567,005930,1
355,한국경제,"삼성전자, 3분기 실적 발표... 영업이익 전년 대비 25% 증가","삼성전자, 3분기 실적 발표... 영업이익 전년 대비 25% 증가. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. ",2025-08-13 07:36:26.221296,2025-08-13 07:41:26.221296,0.7561156583907193,"{""source_weight"": 0.95, ""tickers_hit"": 1, ""keywords_hit"": 4, ""freshness"": 3.000011911666667}",0.623942494690482,005930,1
1195,조선일보,"신한은행 디지털 전환 가속화, IT 투자 38억 증액","신한은행 디지털 전환 가속화, IT 투자 38억 증액. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. ",2025-08-12 19:36:26.221296,2025-08-12 19:41:26.221296,0.7443679495697912,"{""source_weight"": 0.9, ""tickers_hit"": 1, ""keywords_hit"": 2, ""freshness"": 15.000045758333332}",0.5724281929918622,055550,1
405,한국경제,"삼성전자, 3분기 실적 발표... 영업이익 전년 대비 17% 증가","삼성전자, 3분기 실적 발표... 영업이익 전년 대비 17% 증가. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. 관련 상세 내용입니다. ",2025-08-13 01:36:26.221296,2025-08-13 01:41:26.221296,0.7397539208373756,"{""source_weight"": 0.95, ""tickers_hit"": 1, ""keywords_hit"": 4, ""freshness"": 9.000014195}",0.692159792688229,005930,1
